# Generated by scripts/refresh-vocabulary-manifest.py from the authorities below; do not edit.
# authority	/vault/Data/.refresh-20260903/UD-Tools/10ce40cf8a577714e51cf56b443dd4c2c6d55f91/data/feats.json	sha256=44d997b1fd6130a21b0859d0b47c22f0e8e3677975581a5cc71fe828e2101d68
code	feature	value
722	NounClass[psor]	Bantu10
723	NounClass[psor]	Bantu11
724	NounClass[psor]	Bantu12
725	NounClass[psor]	Bantu13
726	NounClass[psor]	Bantu14
727	NounClass[psor]	Bantu15
728	NounClass[psor]	Bantu2
729	NounClass[psor]	Bantu20
730	NounClass[psor]	Bantu22
731	NounClass[psor]	Bantu3
732	NounClass[psor]	Bantu4
733	NounClass[psor]	Bantu5
734	NounClass[psor]	Bantu6
735	NounClass[psor]	Bantu7
736	NounClass[psor]	Bantu8
737	NounClass[psor]	Bantu9
738	NounType	Chr
739	NounType	Clf
740	NounType	Cmn
741	NounType	Eth
742	NounType	Glt
743	NounType	Het
744	NounType	Nau
745	NounType	Nos
746	NounType	NotSlender
747	NounType	Org
748	NounType	Prs
749	NounType	Relat
750	NounType	Slender
751	NounType	Strong
752	NounType	Top
753	NounType	Weak
754	NumForm	Armenian
755	NumForm	Combi
756	NumForm	Cyril
757	NumForm	Digit
758	NumForm	Georgian
759	NumForm	Reference
760	NumForm	Roman
761	NumForm	Word
762	NumType	Appr
763	NumType	Assoc
764	NumType	Card
765	NumType	Coll
766	NumType	Dist
767	NumType	Frac
768	NumType	Mult
769	NumType	Ord
770	NumType	Range
771	NumType	Sets
772	NumValue	1
773	NumValue	10
774	NumValue	100
775	NumValue	1000
776	NumValue	11
777	NumValue	2
778	NumValue	20
779	NumValue	3
780	Number	Assoc
781	Number	Card
782	Number	Coll
783	Number	Count
784	Number	Dual
785	Number	Grpl
786	Number	Pauc
787	Number	Plur
788	Number	Ptan
789	Number	Sgtv
790	Number	Sing
791	Number	Tri
792	Number[abs]	Plur
793	Number[abs]	Sing
794	Number[cs]	Plur
795	Number[cs]	Sing
796	Number[dat]	Plur
797	Number[dat]	Sing
798	Number[dsauf]	Plur
799	Number[dsauf]	Sing
800	Number[erg]	Plur
801	Number[erg]	Sing
802	Number[grnd]	Plur
803	Number[grnd]	Sing
804	Number[io]	Plur
805	Number[io]	Sing
806	Number[iobj]	Plur
807	Number[iobj]	Sing
808	Number[lo]	Plur
809	Number[lo]	Sing
810	Number[obj]	Dual
811	Number[obj]	Plur
812	Number[obj]	Sing
813	Number[p]	Dual
814	Number[p]	Plur
815	Number[p]	Sing
816	Number[po]	Plur
817	Number[po]	Sing
818	Number[pred]	Plur
819	Number[pred]	Sing
820	Number[prep]	Plur
821	Number[prep]	Sing
822	Number[psed]	Sing
823	Number[psor]	Dual
824	Number[psor]	Plur
825	Number[psor]	Sing
826	Number[refl]	Plur
827	Number[refl]	Sing
828	Number[ro]	Plur
829	Number[ro]	Sing
830	Number[sauf]	Plur
831	Number[sauf]	Sing
832	Number[subj]	Dual
833	Number[subj]	Plur
834	Number[subj]	Sing
835	OC	Yes
836	Obl	Yes
837	Orth	Alt
838	Out	Yes
839	PartForm	Agt
840	PartForm	Neg
841	PartForm	NegConvPrc
842	PartForm	Past
843	PartForm	PastDyn
844	PartForm	Pres
845	PartForm	Prs
846	PartForm	PrsDet
847	PartForm	PrsTra
848	PartForm	Telic
849	PartForm	VGen
850	PartType	Ad
851	PartType	Adv
852	PartType	Aspect
853	PartType	Aug
854	PartType	Case
855	PartType	Cmpl
856	PartType	Comp
857	PartType	Conseq
858	PartType	Cop
859	PartType	Dct
860	PartType	Deg
861	PartType	Der
862	PartType	Des
863	PartType	Disc
864	PartType	Emp
865	PartType	Evident
866	PartType	Exs
867	PartType	Foc
868	PartType	Gen
869	PartType	Ill
870	PartType	Inf
871	PartType	Int
872	PartType	Mod
873	PartType	Nas
874	PartType	Neg
875	PartType	Nfh
876	PartType	Num
877	PartType	Pat
878	PartType	Pred
879	PartType	Prs
880	PartType	Rel
881	PartType	Res
882	PartType	Sub
883	PartType	Sup
884	PartType	Ta
885	PartType	Top
886	PartType	Vb
887	PartType	Vbp
888	PartType	Voc
889	PartTypeQpm	Ind
890	PartTypeQpm	Neg
891	PartTypeQpm	Tot
892	PastType	Imm
893	PastType	Rec
894	PastType	Remt
895	Pcl	Dub
896	Person	0
897	Person	1
898	Person	12
899	Person	13
900	Person	2
901	Person	23
902	Person	3
903	Person	33
904	Person	3Imp
905	Person	4
906	Person	Non1
907	Person[abs]	1
908	Person[abs]	2
909	Person[abs]	3
910	Person[cs]	1
911	Person[cs]	2
912	Person[cs]	3
913	Person[cs]	Rel
914	Person[dat]	1
915	Person[dat]	2
916	Person[dat]	3
917	Person[erg]	1
918	Person[erg]	2
919	Person[erg]	3
920	Person[grnd]	1
921	Person[grnd]	2
922	Person[grnd]	3
923	Person[io]	1
924	Person[io]	2
925	Person[io]	3
926	Person[io]	Rec
927	Person[io]	Rel
928	Person[iobj]	1
929	Person[iobj]	2
930	Person[iobj]	3
931	Person[lo]	1
932	Person[lo]	2
933	Person[lo]	3
934	Person[lo]	Rec
935	Person[lo]	Rel
936	Person[obj]	1
937	Person[obj]	2
938	Person[obj]	3
939	Person[obj]	Rel
940	Person[p]	1
941	Person[p]	2
942	Person[p]	3
943	Person[po]	1
944	Person[po]	2
945	Person[po]	3
946	Person[po]	Rel
947	Person[pred]	1
948	Person[pred]	2
949	Person[pred]	3
950	Person[prep]	1
951	Person[prep]	2
952	Person[prep]	3
953	Person[psed]	3
954	Person[psor]	1
955	Person[psor]	2
956	Person[psor]	3
957	Person[psor]	Rel
958	Person[refl]	1
959	Person[refl]	2
960	Person[refl]	3
961	Person[refl]	Rel
962	Person[ro]	1
963	Person[ro]	2
964	Person[ro]	3
965	Person[ro]	Rec
966	Person[ro]	Rel
967	Person[subj]	1
968	Person[subj]	2
969	Person[subj]	3
970	Person[subj]	Rec
971	Person[subj]	Rel
972	Polarity	Aff
973	Polarity	Neg
974	Polarity	Pos
975	Polite	Depr
976	Polite	Elev
977	Polite	Form
978	Polite	Humb
979	Polite	Infm
980	Polite[abs]	Infm
981	Polite[dat]	Infm
982	Polite[erg]	Infm
983	Position	Postnom
984	Position	Prenom
985	Poss	Ali
986	Poss	Hum
987	Poss	Ina
988	Poss	Yes
989	Possessed	No
990	Possessed	Yes
991	Pred	AtrEq
992	Pred	Yes
993	Prefix	Yes
994	Prefix	Yodh
995	PrepCase	Npr
996	PrepCase	Pre
997	PrepForm	Cmpd
998	Priv	Yes
999	PronClass	A
1000	PronClass	B
1001	PronClass	C
1002	PronClass	Dep
1003	PronClass	Ind
1004	PronClass	Neg
1005	PronClass	Suffix
1006	PronType	Add
1007	PronType	Ana
1008	PronType	Art
1009	PronType	Con
1010	PronType	Dem
1011	PronType	Emp
1012	PronType	Exc
1013	PronType	Gnc
1014	PronType	Ind
1015	PronType	Int
1016	PronType	Loc
1017	PronType	Neg
1018	PronType	Poss
1019	PronType	Prs
1020	PronType	Rcp
1021	PronType	Rel
1022	PronType	Tot
1023	PronType	Void
1024	Proper	Yes
1025	Prp	False
1026	Pun	No
1027	Pun	Yes
1028	PunctSide	Fin
1029	PunctSide	Ini
1030	PunctType	Brck
1031	PunctType	Bull
1032	PunctType	Colo
1033	PunctType	Comm
1034	PunctType	Dash
1035	PunctType	Elip
1036	PunctType	Excl
1037	PunctType	Hyph
1038	PunctType	Parag
1039	PunctType	Peri
1040	PunctType	Qest
1041	PunctType	Quot
1042	PunctType	Semi
1043	PunctType	Slsh
1044	Purp	Trans
1045	Purp	Yes
1046	Purpose	And
1047	Purpose	Ven
1048	RcpType	Erg
1049	RcpType	Io
1050	RcpType	Pr
1051	Reach	Access
1052	Reach	Remote
1053	Recip	Yes
1054	Red	Di
1055	Red	Ex
1056	Red	Mo
1057	Red	Yes
1058	Redup	Yes
1059	Referent	Yes
1060	Reflex	Yes
1061	Reflex[iobj]	Yes
1062	Reflex[obj]	Yes
1063	Reflex[subj]	Yes
1064	Rel	Abs
1065	Rel	Cont
1066	Rel	Corf
1067	Rel	Hum
1068	Rel	NCont
1069	RelType	Abs
1070	RelType	Cause
1071	RelType	Erg
1072	RelType	Io
1073	RelType	Loc
1074	RelType	Mnr
1075	RelType	Pr
1076	RelType	Rsn
1077	RelType	Tmp
1078	Reln	Ben
1079	Reln	Com
1080	Reln	Ins
1081	Reln	Invol
1082	Reln	Mal
1083	Reln	Pot
1084	Rep	F
1085	Rep	M
1086	Report	Yes
1087	Restr	Yes
1088	SecV	Yes
1089	Singulative	Yes
1090	Sp	Yes
1091	Speech	FF
1092	Speech	Fem
1093	Speech	Ind
1094	Speech	IndTrans
1095	Speech	MM
1096	Speech	Man
1097	Speech	Masc
1098	Speech	Woman
1099	St	Yes
1100	StatPrep	Cons
1101	StatPrep	Pron
1102	State	Abs
1103	State	Pos
1104	Strength	Strong
1105	Strength	Weak
1106	Style	Arch
1107	Style	Coll
1108	Style	Expr
1109	Style	Form
1110	Style	Ped
1111	Style	Rare
1112	Style	Slng
1113	Style	Var
1114	Style	Vrnc
1115	Style	Vulg
1116	SubForm	AbstRel
1117	SubForm	Pred
1118	SubForm	RelForm
1119	SubGender	Masc1
1120	SubGender	Masc2
1121	SubGender	Masc3
1122	SubSuff	Yes
1123	Subcat	Ditr
1124	Subcat	Indir
1125	Subcat	Intr
1126	Subcat	Prep
1127	Subcat	Tran
1128	Subord	Yes
1129	Subordinative	No
1130	Subordinative	Yes
1131	Tense	Aor
1132	Tense	Cnd
1133	Tense	Cnd2
1134	Tense	Fut
1135	Tense	Fut2
1136	Tense	FutPast
1137	Tense	IPast
1138	Tense	Imp
1139	Tense	Nar
1140	Tense	NearPast
1141	Tense	Past
1142	Tense	PastPart
1143	Tense	PastPerf
1144	Tense	PastResultI
1145	Tense	Pf
1146	Tense	Pqp
1147	Tense	Pred
1148	Tense	Pres
1149	Tense	Prf
1150	Tense	RPast
1151	Tense	RecPast
1152	Tense	Subj
1153	Tense	Subj2
1154	TenseEvid	FPastFhF
1155	TenseEvid	FPastFhM
1156	TenseEvid	FPastNfhF
1157	TenseEvid	FPastNfhM
1158	TenseEvid	FutF
1159	TenseEvid	FutM
1160	TenseEvid	IPastFhF
1161	TenseEvid	IPastNfHF
1162	TenseEvid	IPastNfHM
1163	TokenType	Aff
1164	TokenType	Clit
1165	TokenType	Unfinished
